,git_hash,commit_date,cve_data,cwe_group,published_date,severity,impact_score
0,6394c5b660280cf32b6660b6f321d9f045597927,2011-03-27 10:18:31+02:00,SQL_INJECTION,,,,
1,3654655138d6ab6c644649dbb3a578740a5830cd,2013-07-16 09:19:36+02:00,SQL_INJECTION,,,,
2,ac097a2fef35bb08dd03479e11170b90e1ba6679,2013-12-21 09:51:45+01:00,SQL_INJECTION,,,,
3,59b1f9e003b9858796bbbe7f5f476b3cba527c26,2013-12-21 20:41:31+01:00,SQL_INJECTION,,,,
4,007a1c5b62bf498fc24015c7108a2c355a797352,2014-01-14 03:13:54+01:00,CVE-2014-0014,CWE-79,2018-02-15T21:29Z,LOW,2.7
5,3c556e8a3f893092cb64528ba589e4f71cc29687,2014-01-14 03:20:00+01:00,CVE-2014-0013,CWE-79,2018-02-15T21:29Z,LOW,2.7
6,c80748313f93757b28f2bd3bd3d594e1e8e03d80,2014-01-14 03:40:00+01:00,CVE-2014-0014,CWE-79,2018-02-15T21:29Z,LOW,2.7
7,84b4da47170adec265b555637c436c55bc3934f9,2014-01-14 03:40:13+01:00,CVE-2014-0013,CWE-79,2018-02-15T21:29Z,LOW,2.7
8,9205bcce8187f5ccc6b92b1fa20d38d8f3bc0028,2014-01-14 16:58:03+01:00,CVE-2014-0013,CWE-79,2018-02-15T21:29Z,LOW,2.7
9,12fa46ba1c6efb9ddac7bfdef7f4f6909781c801,2014-01-14 16:58:03+01:00,CVE-2014-0014,CWE-79,2018-02-15T21:29Z,LOW,2.7
10,198d571e6e5202ebd8531d92e5316cece3392a61,2014-01-14 16:58:59+01:00,CVE-2014-0013,CWE-79,2018-02-15T21:29Z,LOW,2.7
11,d9977d62b26534555c0708acde0e7ae029e6d8ea,2014-01-14 16:58:59+01:00,CVE-2014-0014,CWE-79,2018-02-15T21:29Z,LOW,2.7
12,83baab02bdff34542c468323816c344721d40c33,2014-02-07 19:56:23+01:00,CVE-2014-0046,CWE-79,2014-02-27T15:55Z,LOW,
13,94b28b8773acf894c4d7d7fccf4411a706292436,2014-02-07 20:03:14+01:00,CVE-2014-0046,CWE-79,2014-02-27T15:55Z,LOW,
14,45ee8df2a0efc0afe233d6b9b17045782a2e6b2d,2014-02-07 20:14:27+01:00,CVE-2014-0046,CWE-79,2014-02-27T15:55Z,LOW,
15,12749841c41fd46d773a5d91db26210e2bf97867,2014-02-07 20:16:21+01:00,CVE-2014-0046,CWE-79,2014-02-27T15:55Z,LOW,
16,5f2ef9ca46991057f3ea541361d08b68ca72f358,2014-03-26 22:49:30+01:00,SQL_INJECTION,,,,
17,7c69b64d1d65b4078fa97d74704e8310d905c08c,2014-03-27 18:43:39+01:00,SQL_INJECTION,,,,
18,e5ebc304159af329beff57b23c72bf68beb25dd4,2015-03-20 16:08:04+01:00,SQL_INJECTION,,,,
19,8bdbc0599567e9c600d9744463a0dafd4929e6fe,2015-04-14 19:32:01+02:00,CVE-2015-1866,CWE-79,2017-09-20T18:29Z,MEDIUM,2.7
20,66418d27be75c1567d8621123e7005e5ab57d231,2015-04-14 19:38:01+02:00,CVE-2015-1866,CWE-79,2017-09-20T18:29Z,MEDIUM,2.7
21,3368489926d95cc0c9960e31c7ca904b9b092300,2015-04-14 19:42:19+02:00,CVE-2015-1866,CWE-79,2017-09-20T18:29Z,MEDIUM,2.7
22,95eab36762fac48949ec502bd38ed61e1570711b,2015-04-14 19:51:57+02:00,CVE-2015-1866,CWE-79,2017-09-20T18:29Z,MEDIUM,2.7
23,beda9d0efe278a4d69824d5b5717a28126259fa5,2015-04-14 19:53:55+02:00,CVE-2015-1866,CWE-79,2017-09-20T18:29Z,MEDIUM,2.7
