,git_hash,commit_date,filename_list,cve_data,cwe_group,published_date,severity,impact_score
217,140d70ad8a7cdc702f793beddeaeba135c27c193,2018-03-02 18:41:30+01:00,".gitattributes,.gitignore,.travis.yml,config.sub,configure,configure.ac,install-sh,pyconfig.h.in,setup.py,config.guess,aclocal.m4,README.rst,Makefile.pre.in,LICENSE",CVE-2018-1061,NVD-CWE-noinfo,2018-06-19T12:29Z,MEDIUM,3.6
218,0e6c8ee2358a2e23117501826c008842acb835ac,2018-03-04 06:33:32+01:00,"aclocal.m4,.gitattributes,.gitignore,.travis.yml,LICENSE,Makefile.pre.in,README.rst,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess",CVE-2018-1061,NVD-CWE-noinfo,2018-06-19T12:29Z,MEDIUM,3.6
219,0e6c8ee2358a2e23117501826c008842acb835ac,2018-03-04 06:33:32+01:00,"aclocal.m4,.gitattributes,.gitignore,.travis.yml,LICENSE,Makefile.pre.in,README.rst,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess",CVE-2013-1752,,2019-06-03T20:15Z,,
220,0e6c8ee2358a2e23117501826c008842acb835ac,2018-03-04 06:33:32+01:00,"aclocal.m4,.gitattributes,.gitignore,.travis.yml,LICENSE,Makefile.pre.in,README.rst,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess",CVE-2018-1060,NVD-CWE-noinfo,2018-06-18T14:29Z,MEDIUM,3.6
221,9f2347a6fa11a833240de5795388844cd7fe06b4,2018-03-04 06:33:39+01:00,"README.rst,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,Makefile.pre.in,LICENSE,.travis.yml,.gitignore,.gitattributes",CVE-2018-1061,NVD-CWE-noinfo,2018-06-19T12:29Z,MEDIUM,3.6
222,9f2347a6fa11a833240de5795388844cd7fe06b4,2018-03-04 06:33:39+01:00,"README.rst,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,Makefile.pre.in,LICENSE,.travis.yml,.gitignore,.gitattributes",CVE-2013-1752,,2019-06-03T20:15Z,,
223,9f2347a6fa11a833240de5795388844cd7fe06b4,2018-03-04 06:33:39+01:00,"README.rst,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,Makefile.pre.in,LICENSE,.travis.yml,.gitignore,.gitattributes",CVE-2018-1060,NVD-CWE-noinfo,2018-06-18T14:29Z,MEDIUM,3.6
224,24db3eea6be3bac9f6947947a183d83a368d87d1,2018-03-04 06:43:45+01:00,".bzrignore,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,.gitignore,.gitattributes",CVE-2018-1061,NVD-CWE-noinfo,2018-06-19T12:29Z,MEDIUM,3.6
225,24db3eea6be3bac9f6947947a183d83a368d87d1,2018-03-04 06:43:45+01:00,".bzrignore,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,.gitignore,.gitattributes",CVE-2013-1752,,2019-06-03T20:15Z,,
226,24db3eea6be3bac9f6947947a183d83a368d87d1,2018-03-04 06:43:45+01:00,".bzrignore,setup.py,pyconfig.h.in,install-sh,configure.ac,configure,config.sub,config.guess,aclocal.m4,README,Makefile.pre.in,LICENSE,.travis.yml,.gitignore,.gitattributes",CVE-2018-1060,NVD-CWE-noinfo,2018-06-18T14:29Z,MEDIUM,3.6
